date,store,product,category,units_sold,unit_price,discount_applied,payment_method
2024-09-29,Lagos Mall,Detergent 2kg,Groceries,112,557.16,0.1,cash
2023-06-27,Ibadan Plaza,Rice 5kg,House hold,58,5640.58,0.15,POS
2022-10-31,Ibadan Plaza,Detergent-2 KG,personal care,111,8999.94,0.1,pos
2021-03-24,Port Harcourt Outlet,rice 5kg,Personal Care,63,5080.6,0.1,POS
2020-04-24,Ibadan Plaza,Rice 5kg,House hold,17,4624.44,0.15,POS
2021-09-09,Port Harcourt Outlet,Rice 5kg,Personal Care,64,8546.86,0.0,Cash
2024-08-08,lagos mall,Soap Bar,personal care,119,5735.54,0.05,POS
,Lagos Mall,Tooth paste,Personal Care,139,7661.28,,Cash
,Port Harcourt Outlet,Detergent-2 KG,House hold,19,7718.03,0.15,POS
2020-10-24,Abuja Central,rice 5kg,Personal Care,69,8096.62,,
2021-10-20,Ibadan Plaza,Tooth paste,House hold,133,4038.34,0.0,Cash
2021-11-16,Port Harcourt Outlet,Toothpaste,Personal Care,84,1534.19,0.0,Cash
2022-01-13,Port Harcourt Outlet,Detergent 2kg,Personal Care,102,2477.26,,
2023-10-20,Lagos Mall,rice 5kg,Household,96,6588.47,,Cash
2021-10-13,Abuja Central,Rice-5 KG,Personal Care,44,6652.33,0.0,Transfer
2023-08-15,Lagos Mall,Cooking Oil 1L,personal care,6,6651.32,0.0,cash
2020-07-28,Abuja Central,Cooking Oil 1 Liter,Personal Care,41,1037.97,0.15,Transfer
2020-07-22,Lagos Mall,Cooking Oil 1L,Groceries,72,2548.04,0.15,
2020-04-29,lagos mall,rice 5kg,Groceries,91,872.95,,
2022-06-12,Port Harcourt Outlet,Tooth paste,Groceries,111,7714.44,0.1,cash
2021-08-09,Abuja Central,Toothpaste,Household,65,4597.21,0.0,Transfer
2022-05-29,Ibadan Plaza,Detergent-2 KG,Personal Care,138,2659.52,0.15,
2024-01-28,Abuja Central,Sugar 1kg,Household,41,7627.55,,pos
2020-06-22,Lagos Mall,Sugar 1kg,Household,82,5660.85,0.15,cash
2020-11-21,Lagos Mall,Soap Bar,grocery,53,5020.24,,cash
2024-01-11,Abuja Central,Rice 5kg,personal care,-2,7302.03,0.15,
2024-09-05,Port Harcourt Outlet,rice 5kg,grocery,44,7532.5,0.1,cash
,Lagos Mall,Tooth paste,Personal Care,94,5713.97,0.05,cash
2022-01-28,Abuja Central,Sugar 1kg,Personal Care,8,4658.39,0.05,Transfer
2022-07-13,Abuja Central,Cooking Oil 1 Liter,Groceries,11,8449.33,0.0,
2023-03-28,lagos mall,Rice-5 KG,personal care,120,3422.28,0.15,POS
2023-05-26,lagos mall,Sugar 1 KG,personal care,82,8150.52,0.1,POS
2020-11-19,lagos mall,Sugar 1kg,grocery,22,1531.42,0.0,pos
2020-04-06,Ibadan Plaza,Rice 5kg,Household,-4,1140.28,0.05,
2020-12-10,Lagos Mall,Tooth paste,Groceries,-1,2510.55,,cash
2024-12-19,Abuja Central,Detergent-2 KG,Household,142,6638.02,,Transfer
2022-03-07,Port Harcourt Outlet,Cooking Oil 1L,Household,100,5493.34,,pos
2020-01-14,Port Harcourt Outlet,Sugar 1kg,Groceries,89,273.52,0.05,POS
2023-02-10,Ibadan Plaza,rice 5kg,grocery,39,877.39,0.0,cash
2021-12-12,Port Harcourt Outlet,Sugar 1kg,Personal Care,58,6069.63,0.0,cash
2021-08-30,Abuja Central,Rice 5kg,Personal Care,97,6064.22,0.0,
2020-09-01,Abuja Central,Detergent-2 KG,House hold,54,8573.02,0.05,cash
2024-06-22,Port Harcourt Outlet,Rice 5kg,Groceries,93,3375.21,0.15,Cash
2022-01-24,Ibadan Plaza,Soap-Bar,House hold,54,7260.3,0.15,cash
,Abuja Central,Cooking Oil 1 Liter,personal care,36,626.01,0.0,Cash
2020-10-27,Ibadan Plaza,Cooking Oil 1 Liter,personal care,65,668.74,0.0,cash
2023-04-03,Abuja Central,Detergent-2 KG,Groceries,49,5188.75,0.15,
2021-10-13,lagos mall,Soap Bar,House hold,140,3294.24,,POS
2021-06-11,Ibadan Plaza,Soap Bar,House hold,24,6179.47,0.0,Cash
2021-09-12,lagos mall,Detergent 2kg,personal care,61,8881.4,0.05,Transfer
2020-09-03,Abuja Central,Rice 5kg,grocery,135,5234.18,0.0,Cash
2022-12-20,Ibadan Plaza,rice 5kg,grocery,51,6111.51,,pos
,Port Harcourt Outlet,Rice 5kg,grocery,137,7532.55,0.05,POS
2020-05-24,Port Harcourt Outlet,Detergent-2 KG,Household,22,7048.47,0.1,pos
2022-01-22,lagos mall,Sugar 1kg,personal care,7,8684.39,,cash
2023-03-03,Port Harcourt Outlet,Rice-5 KG,Household,115,659.1,0.05,pos
2024-07-10,lagos mall,Sugar 1kg,House hold,-2,7177.38,0.05,Transfer
2021-09-13,Port Harcourt Outlet,Sugar 1kg,Personal Care,7,8471.34,0.15,Transfer
2024-04-23,Abuja Central,Toothpaste,Groceries,95,7241.07,,pos
2020-02-09,Ibadan Plaza,Soap-Bar,Personal Care,26,6764.68,0.1,pos
2024-01-20,Lagos Mall,Rice 5kg,Groceries,122,4326.18,0.0,
2024-08-30,Lagos Mall,Rice-5 KG,Groceries,75,5855.29,0.1,cash
2022-05-16,Lagos Mall,Detergent-2 KG,grocery,94,7557.7,0.0,Transfer
2024-03-20,Ibadan Plaza,Soap-Bar,Personal Care,49,2384.23,0.15,cash
2021-08-05,Ibadan Plaza,Soap Bar,personal care,55,7679.73,0.15,POS
2021-08-09,lagos mall,Sugar 1kg,personal care,55,3759.93,0.05,
2024-06-13,Lagos Mall,rice 5kg,grocery,137,6962.59,0.1,POS
2022-07-13,Port Harcourt Outlet,Cooking Oil 1L,grocery,97,4772.31,,Cash
2022-06-11,Abuja Central,Sugar 1 KG,Household,33,5904.33,,Cash
2024-05-04,Ibadan Plaza,Detergent 2kg,personal care,128,3324.8,,
2022-01-10,lagos mall,Detergent-2 KG,House hold,1,2179.55,0.05,POS
2020-11-22,Port Harcourt Outlet,Rice 5kg,Household,15,1762.57,0.05,Cash
2022-12-05,lagos mall,Soap-Bar,Groceries,121,6227.14,0.1,
2023-10-12,lagos mall,Rice-5 KG,House hold,82,872.87,0.1,
2020-09-07,Port Harcourt Outlet,Sugar 1kg,Groceries,85,5314.92,,Transfer
2023-02-14,lagos mall,Soap-Bar,Household,146,677.14,,pos
2021-03-08,Port Harcourt Outlet,Soap Bar,House hold,67,7286.15,0.1,POS
2022-04-19,Port Harcourt Outlet,Cooking Oil 1 Liter,Household,103,3961.14,0.1,Cash
2022-01-02,Abuja Central,Detergent-2 KG,personal care,149,7057.83,0.05,cash
2021-06-13,Ibadan Plaza,Detergent 2kg,House hold,8,1191.35,0.0,Cash
2024-05-21,Abuja Central,Sugar 1kg,House hold,100,7286.6,0.15,pos
2021-02-27,Port Harcourt Outlet,Soap-Bar,Groceries,68,3294.61,0.0,Transfer
2021-09-09,Abuja Central,Rice 5kg,Groceries,38,2303.33,0.15,pos
2020-02-22,Port Harcourt Outlet,Soap-Bar,Groceries,101,8636.01,0.05,
2020-03-17,Abuja Central,Toothpaste,Personal Care,98,3595.74,0.15,cash
2023-05-30,Port Harcourt Outlet,Cooking Oil 1 Liter,Household,70,3941.52,0.15,cash
2020-01-04,lagos mall,Cooking Oil 1L,House hold,67,4020.05,,pos
2021-12-13,Ibadan Plaza,Tooth paste,personal care,3,2183.86,0.05,cash
,Ibadan Plaza,Rice-5 KG,Personal Care,34,1040.72,0.05,Transfer
2024-01-25,lagos mall,Cooking Oil 1L,Groceries,33,2236.98,,
2024-05-24,lagos mall,Tooth paste,personal care,115,8715.77,0.05,pos
2023-09-13,Ibadan Plaza,Sugar 1kg,House hold,79,7737.02,0.05,cash
2023-07-24,Lagos Mall,Sugar 1kg,Household,36,7522.26,0.0,Cash
2020-08-27,Ibadan Plaza,Tooth paste,Household,19,1999.87,0.0,POS
2021-09-19,Port Harcourt Outlet,Tooth paste,grocery,36,8762.85,0.0,POS
2023-08-24,Ibadan Plaza,Detergent 2kg,House hold,140,7951.68,0.1,Cash
2021-12-16,lagos mall,Soap Bar,House hold,75,2476.44,0.0,Transfer
2023-05-25,Abuja Central,Rice-5 KG,House hold,64,3973.95,0.1,
2020-11-27,Lagos Mall,Detergent-2 KG,Personal Care,58,8190.46,0.15,pos
2020-06-25,Port Harcourt Outlet,Tooth paste,House hold,87,1313.45,,cash
2024-03-07,Port Harcourt Outlet,Detergent 2kg,Household,148,450.32,0.05,POS
2021-02-27,lagos mall,rice 5kg,Groceries,142,5797.41,0.15,POS
2020-07-23,lagos mall,Sugar 1kg,Household,94,904.22,0.1,POS
2024-06-14,Ibadan Plaza,Soap-Bar,personal care,90,8212.65,0.15,Transfer
2022-02-17,lagos mall,Soap Bar,Personal Care,134,3461.44,0.15,Cash
2020-07-26,lagos mall,Cooking Oil 1 Liter,Groceries,114,2171.64,0.0,cash
2021-01-01,Lagos Mall,Rice 5kg,Household,13,2438.72,0.1,Cash
2020-08-12,Abuja Central,rice 5kg,personal care,109,5627.19,0.1,cash
2022-12-18,Ibadan Plaza,Sugar 1kg,Groceries,62,1609.65,0.0,pos
2024-08-05,Port Harcourt Outlet,Detergent 2kg,grocery,12,3762.7,0.05,POS
2023-12-05,Abuja Central,Soap Bar,Groceries,117,3019.57,0.05,
2023-12-10,Abuja Central,Cooking Oil 1L,Personal Care,117,357.02,0.05,POS
2024-03-26,Abuja Central,Soap Bar,grocery,-2,3285.25,0.0,pos
,Lagos Mall,Toothpaste,House hold,7,1600.64,0.0,pos
2022-02-09,Ibadan Plaza,Sugar 1kg,House hold,-6,461.04,0.1,Transfer
2024-06-24,Lagos Mall,Detergent-2 KG,House hold,34,7920.23,0.15,pos
2021-07-08,Abuja Central,Cooking Oil 1L,House hold,111,3592.53,0.1,pos
2024-05-11,Port Harcourt Outlet,Rice 5kg,grocery,6,1095.04,0.05,pos
2023-04-16,lagos mall,Detergent-2 KG,grocery,126,7617.98,0.15,pos
2020-12-18,Abuja Central,Cooking Oil 1 Liter,House hold,143,828.26,0.15,
2024-06-25,Lagos Mall,Detergent-2 KG,Household,118,3319.03,0.05,Transfer
2022-08-02,Ibadan Plaza,Toothpaste,Groceries,133,333.76,0.0,pos
2023-04-13,Lagos Mall,Sugar 1 KG,personal care,40,4978.96,0.15,POS
2020-07-01,Lagos Mall,Soap Bar,Household,134,7820.68,,cash
2024-02-07,Port Harcourt Outlet,Sugar 1kg,Groceries,43,2395.19,0.05,pos
2023-04-02,Lagos Mall,rice 5kg,grocery,79,8338.65,,Transfer
2023-03-27,lagos mall,Sugar 1kg,Groceries,33,1233.2,0.1,
2023-06-07,lagos mall,rice 5kg,personal care,28,3281.45,0.1,Cash
2021-03-01,Lagos Mall,Soap-Bar,personal care,102,7387.28,,Cash
2022-09-08,Abuja Central,Detergent-2 KG,Personal Care,7,2161.93,0.1,Transfer
2024-09-23,Port Harcourt Outlet,Detergent 2kg,grocery,36,4014.33,0.05,Cash
2023-01-27,lagos mall,Toothpaste,House hold,29,3306.41,,pos
2023-05-11,Lagos Mall,Cooking Oil 1 Liter,House hold,116,4464.65,0.15,POS
2021-10-07,Port Harcourt Outlet,Cooking Oil 1L,Household,75,6029.88,,Transfer
2024-04-11,Lagos Mall,Cooking Oil 1L,personal care,66,5501.1,0.1,POS
2023-04-09,Port Harcourt Outlet,Soap-Bar,Groceries,118,6721.57,0.15,
2021-07-22,lagos mall,rice 5kg,Groceries,82,6635.54,0.15,Transfer
2020-05-10,Ibadan Plaza,Detergent-2 KG,Groceries,121,7345.1,0.0,POS
2022-01-24,Abuja Central,Soap Bar,grocery,51,2084.65,0.15,POS
2020-07-06,Port Harcourt Outlet,Detergent 2kg,Household,56,722.87,0.15,Transfer
2023-02-01,Abuja Central,Cooking Oil 1L,grocery,55,6275.01,0.05,POS
2023-03-17,Ibadan Plaza,Rice-5 KG,Personal Care,89,1366.4,0.1,POS
2022-12-24,Abuja Central,Soap-Bar,Personal Care,149,3206.4,0.15,
2021-11-07,Port Harcourt Outlet,Rice-5 KG,personal care,33,3359.66,0.1,POS
2023-10-28,lagos mall,Sugar 1 KG,Groceries,32,4322.93,,POS
2022-08-30,Abuja Central,Rice-5 KG,House hold,114,4096.83,0.15,Transfer
2020-11-01,Port Harcourt Outlet,Cooking Oil 1 Liter,Groceries,86,8214.46,,Transfer
2021-11-08,Abuja Central,Cooking Oil 1L,Personal Care,47,7605.78,,Transfer
2023-03-14,lagos mall,Detergent-2 KG,Personal Care,32,8685.46,0.0,cash
,Ibadan Plaza,rice 5kg,Personal Care,82,7669.55,0.0,POS
2024-01-21,Lagos Mall,Sugar 1 KG,grocery,129,2579.64,0.15,cash
2024-02-21,Ibadan Plaza,rice 5kg,Personal Care,47,8677.87,0.05,
2023-07-08,Port Harcourt Outlet,rice 5kg,Groceries,18,7088.08,0.1,
2021-05-17,Ibadan Plaza,Cooking Oil 1L,House hold,61,8726.0,0.1,Transfer
2020-11-26,Ibadan Plaza,Rice 5kg,Personal Care,83,1837.96,0.1,Transfer
2023-03-02,Lagos Mall,Soap Bar,Household,5,4700.94,0.05,cash
2021-02-15,lagos mall,Rice-5 KG,House hold,144,3586.72,0.0,Transfer
2022-12-27,lagos mall,Cooking Oil 1 Liter,House hold,26,6097.57,0.0,POS
2023-11-09,Abuja Central,Cooking Oil 1 Liter,personal care,114,6127.84,0.1,cash
2021-06-05,Lagos Mall,Rice-5 KG,Household,117,8739.33,0.0,cash
2020-05-03,Abuja Central,Cooking Oil 1L,Groceries,149,6470.77,0.1,POS
2021-11-10,Ibadan Plaza,Toothpaste,Personal Care,63,6970.13,0.15,
2023-05-18,Lagos Mall,Tooth paste,House hold,0,2725.73,0.1,Transfer
2023-09-24,Port Harcourt Outlet,Detergent 2kg,personal care,56,6784.73,0.15,Cash
2021-10-24,Abuja Central,Tooth paste,grocery,59,6777.93,0.15,pos
2022-06-25,Abuja Central,Rice 5kg,Household,90,5489.34,0.0,Cash
2021-12-19,Ibadan Plaza,Sugar 1 KG,Personal Care,33,8693.93,0.0,Cash
2023-09-16,Port Harcourt Outlet,Detergent 2kg,grocery,27,8838.16,0.0,POS
2021-09-22,lagos mall,Cooking Oil 1L,Household,109,5341.09,,pos
2022-01-06,Abuja Central,Cooking Oil 1L,Groceries,58,5122.45,0.05,Cash
2024-08-30,lagos mall,rice 5kg,House hold,98,6895.46,,POS
2021-08-31,Abuja Central,Detergent 2kg,Groceries,104,3715.73,0.1,POS
2022-06-12,Ibadan Plaza,Cooking Oil 1 Liter,Groceries,64,6944.54,0.0,
2023-05-22,lagos mall,rice 5kg,House hold,137,7244.5,0.1,pos
2024-08-26,Abuja Central,Sugar 1kg,Groceries,59,5519.2,0.0,cash
2024-09-16,Abuja Central,Soap-Bar,Household,42,8458.79,,pos
,Lagos Mall,Rice 5kg,grocery,-2,3826.14,,Transfer
2021-08-08,Port Harcourt Outlet,Tooth paste,Groceries,-3,6880.41,0.05,pos
2022-10-11,Port Harcourt Outlet,Rice-5 KG,personal care,109,8627.75,,
2020-12-26,Ibadan Plaza,Cooking Oil 1L,Household,59,7772.82,,pos
2022-07-15,lagos mall,Cooking Oil 1L,grocery,62,4642.77,0.1,pos
2020-10-16,Lagos Mall,Soap-Bar,House hold,10,4185.31,,Cash
2022-08-14,Abuja Central,Sugar 1kg,personal care,67,5477.06,0.1,Transfer
2021-10-21,Lagos Mall,Rice-5 KG,House hold,38,8066.58,0.0,pos
2021-11-01,Abuja Central,Tooth paste,grocery,75,8917.11,0.1,
2021-06-28,Lagos Mall,Tooth paste,House hold,30,7151.7,0.15,cash
2023-10-25,Abuja Central,Detergent-2 KG,Personal Care,72,3962.57,0.0,Transfer
2023-09-23,lagos mall,Detergent-2 KG,grocery,46,1673.51,,cash
2021-08-20,Ibadan Plaza,Rice-5 KG,House hold,65,3133.04,0.1,cash
2020-04-05,Lagos Mall,Soap-Bar,Personal Care,140,7746.93,,
2024-06-09,Port Harcourt Outlet,Sugar 1kg,Household,3,7383.18,,
2022-05-17,lagos mall,Soap-Bar,grocery,137,6025.32,,
2022-10-16,Abuja Central,Soap Bar,grocery,77,8739.84,,cash
2022-05-17,Abuja Central,Sugar 1kg,Personal Care,53,5331.74,,Transfer
2020-01-31,Abuja Central,Detergent-2 KG,House hold,20,7583.21,,Transfer
2021-01-23,Lagos Mall,Tooth paste,personal care,15,7980.17,0.1,POS
2022-05-14,Lagos Mall,Toothpaste,Groceries,100,2088.55,0.05,POS
2020-11-26,Port Harcourt Outlet,Rice 5kg,Household,-3,2967.42,0.0,pos
2024-04-19,lagos mall,Soap Bar,Household,91,6118.35,0.1,POS
2020-05-11,Abuja Central,Cooking Oil 1 Liter,Groceries,101,1470.55,0.05,Transfer
2024-03-16,Lagos Mall,Cooking Oil 1L,personal care,16,571.65,0.05,Transfer
2021-06-08,Port Harcourt Outlet,Cooking Oil 1L,grocery,120,5397.41,0.1,
2024-08-09,lagos mall,Rice 5kg,Personal Care,128,4892.04,,
2022-04-21,Abuja Central,Soap Bar,personal care,43,4298.32,,POS
2020-11-01,lagos mall,Detergent-2 KG,grocery,99,2222.42,0.15,Cash
2024-01-04,Port Harcourt Outlet,Rice-5 KG,grocery,39,3209.77,0.05,
2020-03-31,Lagos Mall,Detergent 2kg,personal care,64,4032.46,0.05,Cash
